experiment,model,provider,condition,trial,chosen_product,price_usd,planned_budget,num_steps,steps,capped,ok,error
wason-selection,Claude Opus 4.8,anthropic,direct,0,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,1,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,2,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,3,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,4,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,5,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,6,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,7,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,8,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,9,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,10,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,11,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,12,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,13,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,14,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,15,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,16,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,17,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,18,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,19,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,20,sel_other,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,21,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,22,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,23,sel_other,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,24,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,25,sel_other,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,26,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,27,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,28,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,direct,29,sel_p_notq,,,1,select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,0,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,1,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,2,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,3,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,4,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,5,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,6,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,7,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,8,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,9,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,10,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,11,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,12,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,13,sel_p_notq,,,2,note_disproof|select_cards,False,True,
wason-selection,Claude Opus 4.8,anthropic,falsify_prompt,14,sel_p_notq,,,2,note_disproof|select_cards,False,True,
