experiment,source,condition,n,enforce_count,reform_count,mixed_count,excluded_none,enforce_share_pct
crime-metaphor-paraphrase,Claude Opus 4.8,beast,35,0,33,2,15,2.9
crime-metaphor-paraphrase,Claude Opus 4.8,virus,40,0,40,0,10,0.0
crime-metaphor-paraphrase,Claude Sonnet 4.6,beast,50,1,27,22,0,24.0
crime-metaphor-paraphrase,Claude Sonnet 4.6,virus,49,1,8,40,1,42.9
crime-metaphor-paraphrase,Claude Haiku 4.5,beast,49,0,6,43,1,43.9
crime-metaphor-paraphrase,Claude Haiku 4.5,virus,50,0,9,41,0,41.0
crime-metaphor-paraphrase,GPT-5.5,beast,50,2,0,48,0,52.0
crime-metaphor-paraphrase,GPT-5.5,virus,50,0,1,49,0,49.0
crime-metaphor-paraphrase,GPT-5.4,beast,50,1,0,49,0,51.0
crime-metaphor-paraphrase,GPT-5.4,virus,50,1,1,48,0,50.0
crime-metaphor-paraphrase,GPT-5.4 mini,beast,50,11,0,39,0,61.0
crime-metaphor-paraphrase,GPT-5.4 mini,virus,50,4,0,46,0,54.0
crime-metaphor-paraphrase,"Humans (Thibodeau & Boroditsky (2011), Experiment 1 (N=455) — approximate reference; wording paraphrased)",beast,,,,,,74.0
crime-metaphor-paraphrase,"Humans (Thibodeau & Boroditsky (2011), Experiment 1 (N=455) — approximate reference; wording paraphrased)",virus,,,,,,56.0
