experiment,model,provider,condition,frame,spread,trial,code,ok,response
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,0,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,1,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,2,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,3,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,4,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,5,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,6,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,7,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,8,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,9,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,10,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,11,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,12,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,13,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,14,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,15,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,16,option_2,True,"{""decision"": ""option_2""}"
decoy-effect,Claude Opus 4.8,anthropic,beer_no_decoy,,,17,option_2,True,"{""decision"": ""option_2""}"
